id,level,category,topic,title,rule,explanation,correct_example_1,correct_example_2,incorrect_example,corrected_example,error_reason,keywords
a2-first-and-second-conditionals,A2,conditionals,conditionals,First and second conditional basics,Use the first conditional for possible future results and the second conditional for unreal or unlikely situations.,Choose the form by how possible the situation is.,"If it rains, we will stay at home.","If I had more time, I would travel.","If it will rain, we stay at home.","If it rains, we will stay at home.","In first conditional if-clauses, use the present simple, not will.","first conditional, second conditional, if clauses"
a2-zero-conditional,A2,conditionals,conditionals,Zero conditional for facts,Use the present simple in both clauses for general truths and facts.,This form describes something that is always true.,"If you heat water, it boils.","If people do not sleep, they feel tired.","If you heat water, it will boil.","If you heat water, it boils.",General truths usually use the present simple in both clauses.,"zero conditional, facts, general truths"
a2-passive-present-simple,A2,voice,passive voice,Present simple passive,Use am/is/are + past participle for the present simple passive.,"The focus is on the action or the result, not the person who does it.",English is spoken here.,These shoes are made in Italy.,English speaks here.,English is spoken here.,The passive needs be + past participle.,"passive voice, present simple passive, is spoken"
a2-passive-past-simple,A2,voice,passive voice,Past simple passive,Use was/were + past participle for the past simple passive.,It talks about a finished action when the doer is not important.,The car was repaired yesterday.,The letters were sent last week.,The car repaired yesterday.,The car was repaired yesterday.,The passive needs was or were plus a past participle.,"passive voice, past simple passive, was repaired"
a2-prepositions-time,A2,prepositions,time prepositions,Prepositions of time,"Use at for exact times, on for days and dates, and in for months, years, and longer periods.",Time prepositions depend on the type of time expression.,at six o'clock,on Monday / in April,in Monday,on Monday,Use on with days of the week.,"at on in, prepositions of time"
a2-prepositions-place,A2,prepositions,prepositions of place,Prepositions of place,"Use in for enclosed spaces, on for surfaces, and at for points or places.",Choose the preposition by position.,The keys are on the table.,She is at the station.,The keys are in the table.,The keys are on the table.,"A table is a surface, so use on.","prepositions of place, in on at"
b1-present-perfect-continuous,B1,tenses,present perfect continuous,Present perfect continuous for duration,Use have/has been + verb-ing to show an action that started in the past and continues now or has recently stopped.,It focuses on the length of time or recent activity.,I have been waiting for an hour.,She has been studying all morning.,I am waiting for an hour.,I have been waiting for an hour.,"For an action lasting up to now, use the present perfect continuous.","present perfect continuous, duration, have been ing"
b1-present-perfect-continuous-vs-simple,B1,tenses,present perfect continuous versus present perfect,Present perfect simple or continuous,Use the present perfect simple for completed results and the present perfect continuous for duration or recent activity.,Choose the form depending on what you want to emphasise.,I have finished my work. / I have been working all day.,She has written three emails. / She has been writing emails since lunch.,I have been finishing my work.,I have finished my work.,A completed result usually needs the present perfect simple.,"present perfect simple, present perfect continuous, result duration"
b1-past-simple-vs-present-perfect,B1,tenses,past simple versus present perfect,Past simple or present perfect in conversation,Use the past simple for finished time and the present perfect for life experience or unfinished time.,Words like yesterday and last year usually take the past simple.,I have been to Madrid. / I went there in 2022.,She has just arrived. / She arrived five minutes ago.,I have seen him yesterday.,I saw him yesterday.,"Yesterday is finished time, so use the past simple.","past simple, present perfect, finished time, experience"
b1-future-present-continuous-vs-going-to,B1,tenses,future forms,Future arrangements and intentions,Use the present continuous for fixed arrangements and going to for intentions or plans.,"Both can refer to the future, but they are used in slightly different ways.",We are meeting the client on Friday.,I am going to start a new course in September.,We meet the client on Friday.,We are meeting the client on Friday.,A fixed future arrangement needs a future form.,"future forms, present continuous, going to, arrangements"
b1-future-will-vs-going-to,B1,tenses,future forms,Will or going to,"Use will for immediate decisions and predictions, and going to for plans or evidence-based predictions.",The choice depends on the reason for the future form.,I think it will rain later.,Look at the sky. It is going to rain.,I am going to help you now.,I will help you now.,An immediate decision usually uses will.,"will, going to, predictions, immediate decisions"
b1-modals-of-deduction-present,B1,modal verbs,modal verbs,"Must, may, and might for deduction","Use must for a strong deduction, may or might for a possible deduction, and cannot for something that is impossible.",These modals show how certain you are.,He must be at work; his car is outside.,She might be at home.,He must to be at work.,He must be at work.,Do not use to after modal verbs.,"must may might cannot, deduction"
b1-modals-advice,B1,modal verbs,modal verbs,Should and ought to for advice,Use should or ought to to give advice or say what is right.,These modals are common in polite advice.,You should see a doctor.,We ought to leave early.,You should to see a doctor.,You should see a doctor.,Should is followed by the base verb.,"should, ought to, advice"
b1-modals-past-ability,B1,modal verbs,modal verbs,Could and was able to,Use could for general past ability and was able to for a specific successful action in the past.,Could is not usually used for one finished success.,"When I was young, I could run fast.",She was able to open the window.,She could open the window after trying for an hour.,She was able to open the window after trying for an hour.,A specific past success usually uses was able to.,"could, was able to, past ability"
b1-gerund-and-infinitive-after-remember-forget-stop,B1,verbs,gerunds and infinitives,"Remember, forget, and stop",Remember and forget can be followed by a gerund or infinitive with different meanings. Stop usually changes meaning too.,The verb form changes the meaning.,I remember locking the door. / Please remember to lock the door.,He stopped smoking. / He stopped to smoke.,I remember to lock the door yesterday.,I remembered to lock the door yesterday.,"For a past event, remembered is needed, not remember.","remember forget stop, gerund infinitive, meaning"
b1-gerund-after-prepositions,B1,verbs,gerunds and infinitives,Gerunds after prepositions,Use the -ing form after a preposition.,"After in, for, at, about, and similar words, use a gerund.",She is interested in learning French.,He left without saying goodbye.,She is interested in learn French.,She is interested in learning French.,"After a preposition, use the -ing form.","gerund after preposition, interested in, without saying"
b1-infinitive-with-to-after-adjectives,B1,verbs,gerunds and infinitives,Infinitive after adjectives,Use a to-infinitive after many adjectives.,"Common patterns include happy to, easy to, and difficult to.",It is easy to understand.,She was happy to help.,It is easy understanding.,It is easy to understand.,"After many adjectives, use to + verb.","to-infinitive, adjectives, easy to"
b1-passive-with-modal-verbs,B1,voice,passive voice,Passive with modal verbs,Use modal verb + be + past participle in the passive.,This form is common in rules and formal writing.,The report must be finished today.,Applications should be sent online.,The report must finished today.,The report must be finished today.,The passive after a modal needs be plus a past participle.,"passive voice, modal verbs, must be finished"
b1-passive-with-present-perfect,B1,voice,passive voice,Passive with present perfect,Use have/has been + past participle in the passive present perfect.,It describes a result up to now.,The room has been cleaned.,The emails have been sent.,The room has cleaned.,The room has been cleaned.,The passive perfect form needs been.,"passive voice, present perfect passive, has been cleaned"
b1-first-conditional-variation,B1,conditionals,conditionals,First conditional with unless and when,"Use unless to mean if not, and when for a future situation that is expected.",These words are common in real future conditions.,"Unless it rains, we will go out.","When I finish work, I will call you.","Unless it will rain, we will go out.","Unless it rains, we will go out.","In the unless-clause, use the present simple.","unless, when, first conditional"
b1-second-conditional-meaning,B1,conditionals,conditionals,Second conditional for imaginary situations,Use if + past simple and would + base verb for imaginary or unlikely present or future situations.,It describes a situation that is not real or not likely.,"If I had a car, I would drive to work.","If she lived closer, she would visit more often.","If I would have a car, I would drive to work.","If I had a car, I would drive to work.","In second conditional if-clauses, use the past simple, not would have.","second conditional, would, imaginary situations"
b1-third-conditional,B1,conditionals,conditionals,Third conditional for past regret,Use if + past perfect and would have + past participle to talk about unreal past situations.,It is often used for regrets or different past results.,"If I had studied, I would have passed.","If they had left earlier, they would have caught the train.","If I studied, I would have passed.","If I had studied, I would have passed.",Third conditional needs the past perfect in the if-clause.,"third conditional, past regret, would have"
b1-relative-pronouns-who-which-that,B1,clauses,relative clauses,Relative pronouns,"Use who for people, which for things, and that for people or things in defining clauses.",Relative pronouns connect two sentences.,The woman who called is my aunt.,The phone that I bought is new.,The woman which called is my aunt.,The woman who called is my aunt.,"Who is used for people, not which.","relative pronouns, who which that"
b1-reported-speech-present-simple-to-past-simple,B1,speech,reported speech,Reported speech changes,"In reported speech, present simple often changes to past simple.",Tenses usually move back when reporting what someone said.,He said that he was tired.,She told me that she liked the film.,He said that he is tired.,He said that he was tired.,"In reported speech, the tense often changes back.","reported speech, tense backshift, said that"
b1-articles-no-article-with-general-plural-or-uncountable,B1,articles,articles,No article for general plural and uncountable nouns,Do not use an article when talking generally about plural nouns or uncountable nouns.,Use no article for general meaning.,Dogs are friendly.,Milk is good for you.,The dogs are friendly.,Dogs are friendly.,"This is a general statement, so no article is needed.","articles, no article, general nouns"
b1-countable-uncountable-quantifiers,B1,determiners,countable and uncountable nouns,Quantifiers with countable and uncountable nouns,"Use many and few with countable nouns, and much and little with uncountable nouns.",Match the quantifier to the noun type.,Many students arrived early.,We have much homework.,We have many homework.,We have much homework.,"Homework is uncountable, so use much.","many much few little, countable uncountable"
