question,expected_id,level,prompt_style,answer,source_ids,grammar_correctness,groundedness,level_appropriateness,helpfulness,explanation
"When I talk about plural nouns in a general way, do I need an article or not?",b1-articles-no-article-with-general-plural-or-uncountable,B1,direct,"1. **Answer:** No, you do **not** need an article. Use **no article** with plural nouns when you talk about them in a general way.

2. **Rule:** Do not use an article when talking generally about plural nouns or uncountable nouns.

3. **Example:** **Dogs are friendly.**","b1-articles-no-article-with-general-plural-or-uncountable,b1-first-conditional-variation,b1-present-perfect-continuous,b1-gerund-after-prepositions,b1-modals-past-ability,b1-past-simple-vs-present-perfect,b1-future-will-vs-going-to,b1-third-conditional,b1-countable-uncountable-quantifiers,b1-present-perfect-continuous-vs-simple",PASS,PASS,PASS,PASS,"The tutor answer is grammatically correct, matches the retrieved rule exactly, and uses simple B1-friendly language. It clearly answers the learner’s question that general plural nouns do not need an article, with an appropriate example."
"When I talk about plural nouns in a general way, do I need an article or not?",b1-articles-no-article-with-general-plural-or-uncountable,B1,guided,"No article.

1. **Corrected sentence:**  
   **Dogs are friendly.**

2. **What changed:**  
   I removed **the** before **dogs**.

3. **Rule:**  
   Do not use an article when talking generally about plural nouns.

4. **Additional example:**  
   **Books are useful.**

5. **Practice question:**  
   Say it correctly: **The apples are healthy.**","b1-articles-no-article-with-general-plural-or-uncountable,b1-first-conditional-variation,b1-present-perfect-continuous,b1-gerund-after-prepositions,b1-modals-past-ability,b1-past-simple-vs-present-perfect,b1-future-will-vs-going-to,b1-third-conditional,b1-countable-uncountable-quantifiers,b1-present-perfect-continuous-vs-simple",PASS,PASS,PASS,PASS,"The tutor answer correctly states that no article is used with general plural nouns and gives an accurate correction (“Dogs are friendly”). This matches the retrieved B1 rule. The language is simple and suitable for a B1 learner, and it clearly answers the question with an extra example and practice item."
"When do we use yet, already, and just with the present perfect?",a2-present-perfect-with-yet-already-just,A2,direct,"1. **Answer:**  
   Use **yet** in **negative sentences and questions**, **already** in **positive sentences**, and **just** for **very recent actions**.

2. **Relevant grammar rule:**  
   These words often go with the **present perfect**.

3. **Example:**  
   **Have you finished yet?**  
   **I have already finished.**  
   **She has just left.**","a2-present-perfect-with-yet-already-just,a2-superlatives-short-adjectives,a2-a-an-with-singular-countable,a2-the-with-specific-things,a2-present-perfect-experience,a2-present-perfect-vs-past-simple,a2-present-simple-vs-continuous,a2-future-will,a2-some-any,a2-present-continuous-now",PASS,PASS,PASS,PASS,"The tutor answer is grammatically correct, matches the retrieved rule exactly, and uses simple A2-friendly language. It clearly answers when to use yet, already, and just with the present perfect and gives correct examples."
"When do we use yet, already, and just with the present perfect?",a2-present-perfect-with-yet-already-just,A2,guided,"Use **yet** in **negative sentences and questions**, **already** in **positive sentences**, and **just** for **very recent actions**.

Examples:
- **I have already finished.**
- **Has he arrived yet?**
- **I have not finished yet.**

What changed in the incorrect example:
- **I have finished yet** → **I have not finished yet**
- We added **not** because **yet** is usually used in **negatives** or **questions**, not in positive sentences.

Rule:
- **Yet** = negatives and questions
- **Already** = positive sentences
- **Just** = very recent actions

One more example:
- **She has just left.**

Practice question:
- Make a sentence with **already**.","a2-present-perfect-with-yet-already-just,a2-superlatives-short-adjectives,a2-a-an-with-singular-countable,a2-the-with-specific-things,a2-present-perfect-experience,a2-present-perfect-vs-past-simple,a2-present-simple-vs-continuous,a2-future-will,a2-some-any,a2-present-continuous-now",PASS,PASS,PASS,PASS,"The answer accurately explains the A2 present perfect use of yet, already, and just. It matches the retrieved rule: yet in negatives/questions, already in positives, and just for very recent actions. The language is simple and suitable for an A2 learner, and it clearly answers the question with examples and a correction."
"When should I use could, and when should I use was able to when talking about past ability?",b1-modals-past-ability,B1,direct,"1. **Answer / correction:**  
Use **could** for **general past ability**. Use **was able to** for **a specific successful action in the past**.

2. **Relevant grammar rule:**  
**Could** is used for general past ability. **Was able to** is used for one finished success in the past. **Could** is not usually used for a specific success.

3. **Example:**  
When I was young, I **could** run fast.  
She **was able to** open the window after trying for an hour.","b1-modals-past-ability,b1-modals-advice,b1-first-conditional-variation,b1-infinitive-with-to-after-adjectives,b1-articles-no-article-with-general-plural-or-uncountable,b1-third-conditional,b1-past-simple-vs-present-perfect,b1-future-will-vs-going-to,b1-reported-speech-present-simple-to-past-simple,b1-second-conditional-meaning",PASS,PASS,PASS,PASS,"The tutor answer matches the retrieved B1 rule exactly: could for general past ability and was able to for a specific successful action. The examples are correct and clear, and the language is simple and suitable for a B1 learner. It directly answers the learner’s question."
"When should I use could, and when should I use was able to when talking about past ability?",b1-modals-past-ability,B1,guided,"Use **could** for **general past ability** and **was able to** for a **specific successful action** in the past.

**Example:**
- When I was young, I **could run fast**.  
- She **was able to open** the window.

If you mean **one finished success**, use **was able to**, not **could**.

**One more example:**
- He **was able to finish** the test after extra time.

**Practice question:**
- Choose the correct form:  
  She ______ find her keys after searching for an hour.","b1-modals-past-ability,b1-modals-advice,b1-first-conditional-variation,b1-infinitive-with-to-after-adjectives,b1-articles-no-article-with-general-plural-or-uncountable,b1-third-conditional,b1-past-simple-vs-present-perfect,b1-future-will-vs-going-to,b1-reported-speech-present-simple-to-past-simple,b1-second-conditional-meaning",PASS,PASS,PASS,PASS,"The answer matches the retrieved rule: could is used for general past ability, and was able to is used for a specific successful past action. The examples are grammatically correct and directly address the learner’s question. The language is clear and suitable for B1, with simple sentences and familiar terminology. It is also helpful because it includes examples and a practice question."
"When do I use my, your, his, her, its, our, and their before a noun?",a1-possessive-adjectives,A1,direct,"1. **Answer:** Use **my, your, his, her, its, our, and their** **before a noun**.

2. **Rule:** These words are **possessive adjectives**. They show **who owns something**.

3. **Example:** **This is my phone.**","a1-possessive-adjectives,a1-present-simple-questions,a1-adjectives-order,a1-present-simple-do-does-negatives,a1-subject-pronouns-i-you-he-she-it-we-they,a1-this-that-these-those,a1-articles-a-an-the,a1-verb-be-questions,a1-plurals-spelling-changes,a1-there-is-there-are",PASS,PASS,PASS,PASS,"The answer is grammatically correct, matches the retrieved rule exactly, and uses simple A1 language. It clearly tells the learner that my, your, his, her, its, our, and their come before a noun and gives a correct example."
"When do I use my, your, his, her, its, our, and their before a noun?",a1-possessive-adjectives,A1,guided,"Use **my, your, his, her, its, our, and their** **before a noun**.

- **Correct:** This is **my phone**.
- **Correct:** **Their house** is big.
- **Incorrect:** This is **me phone**.
- **Corrected:** This is **my phone**.

**What changed?**  
I changed **me** to **my**.

**Rule:**  
Use possessive adjectives before nouns.

**Extra example:**  
That is **our car**.

**Practice:**  
Say it correctly: **___ book** (for “my”).","a1-possessive-adjectives,a1-present-simple-questions,a1-adjectives-order,a1-present-simple-do-does-negatives,a1-subject-pronouns-i-you-he-she-it-we-they,a1-this-that-these-those,a1-articles-a-an-the,a1-verb-be-questions,a1-plurals-spelling-changes,a1-there-is-there-are",PASS,PASS,PASS,PASS,"The answer correctly states the rule that my, your, his, her, its, our, and their go before nouns, and its examples match the retrieved context. The language is simple and suitable for an A1 learner. It directly answers the learner’s question and includes a brief practice prompt, which is helpful."
"When should I use many and few, and when should I use much and little?",b1-countable-uncountable-quantifiers,B1,direct,"1. **Answer:**  
Use **many** and **few** with **countable nouns**, and **much** and **little** with **uncountable nouns**.

2. **Relevant grammar rule:**  
Match the quantifier to the noun type.

3. **Example:**  
**Many students** arrived early.  
**We have much homework.**","b1-modals-advice,b1-countable-uncountable-quantifiers,b1-first-conditional-variation,b1-infinitive-with-to-after-adjectives,b1-articles-no-article-with-general-plural-or-uncountable,b1-modals-past-ability,b1-gerund-after-prepositions,b1-modals-of-deduction-present,b1-future-present-continuous-vs-going-to,b1-passive-with-modal-verbs",PASS,PASS,PASS,PASS,"The answer is grammatically correct, directly supported by the retrieved B1 rule on quantifiers with countable and uncountable nouns, and uses clear B1-level language. It answers the learner’s question clearly by stating when to use many/few versus much/little and gives appropriate examples."
"When should I use many and few, and when should I use much and little?",b1-countable-uncountable-quantifiers,B1,guided,"Use **many** and **few** with **countable nouns**, and **much** and **little** with **uncountable nouns**.

### Correct rule
- **many / few** + countable nouns
- **much / little** + uncountable nouns

### Example
- **Many students** arrived early.  
- We have **much homework**.

### What changes?
The quantifier must match the noun type:
- **students** is countable, so use **many**
- **homework** is uncountable, so use **much**

### Simple rule
Match the quantifier to the noun:
- countable = **many / few**
- uncountable = **much / little**

### One more example
- **Few books** were on the shelf.

### Practice question
Choose the correct word: **many, few, much, or little**  
I have too ______ water.","b1-modals-advice,b1-countable-uncountable-quantifiers,b1-first-conditional-variation,b1-infinitive-with-to-after-adjectives,b1-articles-no-article-with-general-plural-or-uncountable,b1-modals-past-ability,b1-gerund-after-prepositions,b1-modals-of-deduction-present,b1-future-present-continuous-vs-going-to,b1-passive-with-modal-verbs",PASS,PASS,PASS,PASS,"The answer is grammatically accurate and directly matches the retrieved B1 rule about quantifiers: many/few with countable nouns and much/little with uncountable nouns. The language is simple and appropriate for a B1 learner. It clearly answers the question and includes examples plus a short practice item, which makes it helpful."
